"Note: This sheet takes a couple seconds to filter because it is MASSIVE, 
so please be patient and don't change too many settings too quickly",,,,,CR,,Spellcaster,Legendary,Lair,Unique,Familiar,Template,Arctic,Coastal,Desert,Forest,Grassland,Hill,Mountain,Swamp,Underdark,Underwater,Urban,Other Plane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goreling,Small,Undead,,Unaligned,1/4,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,207,,,Manes,Small,Fiend,Demon,Chaotic Evil,1/8,,,,,,,,,,,,,,,,,,,ø,Monster Manual,60,,,,,,,,,,,
Gorgimera,Large,Monstrosity,,Unaligned,7,,,,,,,,,,,,,x,x,,,,,,Fifth Edition Foes,131,,,Marilith,Large,Fiend,Demon,Chaotic Evil,16,,,,,,,,,,,,,,,,,,,ø,Monster Manual,61,,,,,,,,,,,
Gorgon,Large,Monstrosity,,Unaligned,5,,,,,,,,,,,x,x,x,,,,,,,Monster Manual,171,Rise of Tiamat Online Supplement 17,,Nalfeshnee,Large,Fiend,Demon,Chaotic Evil,13,,,,,,,,,,,,,,,,,,,ø,Monster Manual,62,,,,,,,,,,,
Gorilla Bear,Medium,Monstrosity,,Unaligned,1,,,,,,,,,,,x,,,,x,,,,,Fifth Edition Foes,132,,,Quasit,Tiny,Fiend,"Shapechanger, Demon",Chaotic Evil,1,,,,,,v,,,,,,,,,,,,,ø,Monster Manual,63,Player's Handbook 309,,,,,,,,,,
Goristro,Huge,Fiend,Demon,Chaotic Evil,17,,,,,,,,,,,,,,,,,,,ø,Monster Manual,59,,,Shadow Demon,Medium,Fiend,Demon,Chaotic Evil,4,,,,,,,,,,,,,,,,,,,ø,Monster Manual,64,,,,,,,,,,,
Graknork,Gargantuan,Monstrosity,,Unaligned,14,,,,,,,,x,,,,,,,,,,,,Tome of Beasts 2,182,,,Vrock,Large,Fiend,Demon,Chaotic Evil,6,,,,,,,,,,,,,,,,,,,ø,Monster Manual,64,,,,,,,,,,,
Grandfather Oak,Huge,Plant,,Chaotic Good,9,,,,,x,,,,,,,,,,,,,,,Infernal Machine Rebuild,5,,,Yochlol,Medium,Fiend,"Shapechanger, Demon",Chaotic Evil,10,,x,,,,,,,,,,,,,,,,,ø,Monster Manual,65,,,,,,,,,,,
Grave Behemoth,Huge,Undead,,Neutral Evil,10,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,208,,,Barbed Devil,Medium,Fiend,Devil,Lawful Neutral,5,,,,,,,,,,,,,,,,,,,ø,Monster Manual,70,Rise of Tiamat Online Supplement 8,,,,,,,,,,
Grave Sage,Medium,Monstrosity,,Chaotic Evil,11,,x,,,,,,,,,,,,ø,,x,,x,x,Sandy Petersen's Cthulhu Mythos,327,,,Bearded Devil,Medium,Fiend,Devil,Lawful Neutral,3,,,,,,,,,,,,,,,,,,,ø,Monster Manual,70,Rise of Tiamat Online Supplement 8,,,,,,,,,,
Grave Titan,Huge,Undead,,Neutral Evil,10,,,,,,,,,,,,,,,,,,ø,,Monster a Day Compendium 2.0,68,,,Bone Devil,Large,Fiend,Devil,Lawful Neutral,9,,,,,,,,,,,,,,,,,,,ø,Monster Manual,71,Rise of Tiamat Online Supplement 9,,,,,,,,,,
Gravecrawler,Medium,Undead,,Neutral Evil,1,,,,,,,,,,,,,,,,ø,,ø,,Monster a Day Compendium 2.0,69,,,Chain Devil,Medium,Fiend,Devil,Lawful Neutral,8,,,,,,,,,,,,,,,,,,,ø,Monster Manual,72,,,,,,,,,,,
Graveslayer,Medium,Humanoid,Dwarf,Any Non-Evil,4,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,400,,,Erinyes,Medium,Fiend,Devil,Lawful Neutral,12,,,,,,,,,,,,,,,,,,,ø,Monster Manual,73,,,,,,,,,,,
Graveyard Dragon,Large,Undead,,Neutral Evil,7,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,,Tome of Beasts 2,183,,,Horned Devil,Large,Fiend,Devil,Lawful Neutral,11,,,,,,,,,,,,,,,,,,,ø,Monster Manual,74,,,,,,,,,,,
Gray Nisp,Large,Fey,,Chaotic Neutral,6,,,,,,,,,x,,,,,,x,,x,,,Fifth Edition Foes,133,,,Ice Devil,Large,Fiend,Devil,Lawful Neutral,14,,,,,,,,,,,,,,,,,,,ø,Monster Manual,75,,,,,,,,,,,
Gray Ooze,Medium,Ooze,,Unaligned,1/2,,,,,,,,,,,,,,,,x,,,,Monster Manual,243,,,Imp,Tiny,Fiend,"Shapechanger, Devil",Lawful Neutral,1,,,,,,v,,,,,,,,,,,,,ø,Monster Manual,76,Player's Handbook 306,,,,,,,,,,
Gray Orc,Medium,Humanoid,Orc,Neutral,1/4,,,,,,,,,,,,,x,x,,x,,,,Tome of Beasts 2,284,,,Lemure,Medium,Fiend,Devil,Lawful Neutral,0,,,,,,,,,,,,,,,,,,,ø,Monster Manual,76,,,,,,,,,,,
Gray Render,Large,Monstrosity,,Chaotic Neutral,12,,,,,,,,,,,x,,x,,,,,,,Mordenkainen Presents: Monsters of the Multiverse,146,,,Pit Fiend,Large,Fiend,Devil,Lawful Neutral,20,,x,,,,,,,,,,,,,,,,,ø,Monster Manual,77,,,,,,,,,,,
Gray Render,Large,Monstrosity,,Chaotic Neutral,12,,,,,,,,,,,x,,x,,,,,,,Mordenkainen's Tome of Foes,209,,,Spined Devil,Small,Fiend,Devil,Lawful Neutral,2,,,,,,,,,,,,,,,,,,,ø,Monster Manual,78,,,,,,,,,,,
Gray Slaad,Medium,Aberration,Shapechanger,Chaotic Neutral,9,,x,,,,,,,,,,,,,,,,x,,Monster Manual,277,,,Allosaurus,Large,Beast,Dinosaur,Unaligned,2,,,,,,,,,,,,x,,,,,,,,Monster Manual,79,,,,,,,,,,,
Gray Thirster,Medium,Undead,,Neutral Evil,2,,,,,,,,,,ø,,,,,,,,,,Tome of Beasts,238,,,Ankylosaurus,Huge,Beast,Dinosaur,Unaligned,3,,,,,,,,,,,,x,,,,,,,,Monster Manual,79,,,,,,,,,,,
Graz'zt,Large,Fiend,demon,Chaotic Evil,24,,x,x,x,x,,,,,,,,,,,,,,ø,Mordenkainen Presents: Monsters of the Multiverse,148,,,Plesiosaurus,Large,Beast,Dinosaur,Unaligned,2,,,,,,,,,x,,,,,,,,x,,,Monster Manual,80,,,,,,,,,,,
Graz'zt,Large,Fiend,"Demon, Demon Lord, Shapechanger",Chaotic Evil,24,,x,x,x,x,,,,,,,,,,,,,,ø,Mordenkainen's Tome of Foes,149,Out of the Abyss 241,,Pteranodon,Medium,Beast,Dinosaur,Unaligned,1/4,,,,,,,,,x,,,x,,x,,,,,,Monster Manual,80,,,,,,,,,,,
Great Gray Owl,Small,Beast,,Unaligned,1/4,,,,,,,,,,,x,,,,,,,,,Tome of Beasts 2,394,,,Triceratops,Huge,Beast,Dinosaur,Unaligned,5,,,,,,,,,,,,x,,,,,,,,Monster Manual,80,,,,,,,,,,,
Great Grey Wolf Sif,Large,Beast,,Lawful Good,13,,,,,x,,,,,,ø,ø,,,,,,,,Monster a Day Compendium 2.0,70,,,Tyrannosaurus Rex,Huge,Beast,Dinosaur,Unaligned,8,,,,,,,,,,,,x,,,,,,,,Monster Manual,80,,,,,,,,,,,
Greater Basilisk,Large,Monstrosity,,Neutral Evil,5,,,,,,,,,,x,,,,,,,,,,Fifth Edition Foes,22,,,Displacer Beast,Large,Monstrosity,,Lawful Neutral,3,,,,,,,,,,,x,,,,,,,,,Monster Manual,81,,,,,,,,,,,
Greater Boneneedle,Medium,Beast,,Unaligned,1,,,,,,,,,,,,,,,,x,,,,Fifth Edition Foes,34,,,Doppelganger,Medium,Monstrosity,Shapechanger,Neutral,3,,,,,,,,,,,,,,,,x,,x,,Monster Manual,82,"Infernal Machine Rebuild 63, Lost Mines of Phandelver 56",,,,,,,,,,
Greater Fire Crab,Large,Monstrosity,,Unaligned,2,,,,,,,,,,,,,,,,,,,x,Fifth Edition Foes,101,,,Adult Blue Dracolich,Huge,Undead,,Lawful Neutral,17,,,x,,,,x,,,,,,,,,,,,ø,Monster Manual,84,,,,,,,,,,,
Greater Ghast of Leng,Large,Aberration,,Chaotic Evil,8,,,,,,,,,,,,,,,,,,,x,Tome of Beasts 2,164,,,Young Red Shadow Dragon,Large,Dragon,,Chaotic Evil,13,,,,,,,x,,,,,,,,,x,,,,Monster Manual,85,,,,,,,,,,,
Greater Lunarchidna,Medium,Aberration,,Neutral Evil,4,,x,,,,,,,,,x,,,,,,,,,Tome of Beasts 2,242,,,Ancient Black Dragon,Gargantuan,Dragon,,Chaotic Evil,21,,,x,x,,,,,,,,,,,x,,,,,Monster Manual,87,,,,,,,,,,,
Greater Rakshasa,Medium,Fiend,,Lawful Evil,15,,x,x,x,,,,,,,,,,,,,,x,,Creature Codex,311,,,Adult Black Dragon,Huge,Dragon,,Chaotic Evil,14,,,x,x,,,,,,,,,,,x,,,,,Monster Manual,88,,,,,,,,,,,
Greater Scrag,Large,Monstrosity,,Chaotic Evil,7,,,,,,,,,x,,,,,,x,,x,,,Creature Codex,322,,,Black Dragon Wyrmling,Medium,Dragon,,Chaotic Evil,2,,,,,,,,,,,,,,,x,,,,,Monster Manual,88,,,,,,,,,,,
Greater Star Spawn Emissary,Huge,Aberration,,Not Provided,21,,,x,,,,,ø,ø,ø,ø,ø,ø,ø,ø,ø,ø,ø,ø,Van Richten's Guide to Ravenloft,245,,,Young Black Dragon,Large,Dragon,,Chaotic Evil,7,,,,,,,,,,,,,,,x,,,,,Monster Manual,88,,,,,,,,,,,
Greater Zombie,Medium,Undead,,Neutral Evil,5,,,,,,,,,,,,,,,ø,ø,,,,Tales from the Yawning Portal,237,Infernal Machine Rebuild 66,,Ancient Blue Dragon,Gargantuan,Dragon,,Lawful Neutral,23,,,x,x,,,,,x,x,,,,,,,,,,Monster Manual,90,,,,,,,,,,,
Greed Swarm,Medium,Construct,Swarm,Unaligned,1/2,,,,,,,,,,,,,,,,,,x,,Tome of Beasts 2,184,,,Adult Blue Dragon,Huge,Dragon,,Lawful Neutral,16,,,x,x,,,,,x,x,,,,,,,,,,Monster Manual,91,Rise of Tiamat Online Supplement 5,,,,,,,,,,
Green Abishai,Medium,Fiend,devil,Lawful Evil,15,,x,,,,,,,,,,,,,,,,x,,Mordenkainen Presents: Monsters of the Multiverse,40,,,Blue Dragon Wyrmling,Medium,Dragon,,Lawful Neutral,3,,,,,,,,,x,x,,,,,,,,,,Monster Manual,91,,,,,,,,,,,
Green Abishai,Medium,Fiend,Devil,Lawful Neutral,15,,x,,,,,,,,,,,,,,,,x,ø,Mordenkainen's Tome of Foes,162,,,Young Blue Dragon,Large,Dragon,,Lawful Neutral,9,,,,,,,,,x,x,,,,,,,,,,Monster Manual,91,,,,,,,,,,,
Green Abyss Orc,Medium,Humanoid,Orc,Chaotic Evil,1/2,,,,,,,,,,,x,,,,,,,,,Creature Codex,291,,,Ancient Green Dragon,Gargantuan,Dragon,,Lawful Neutral,22,,,x,x,,,,,,,x,,,,,,,,,Monster Manual,93,,,,,,,,,,,
Green Brain,Small,Plant,,Lawful Neutral,1,,,,,,,,,,,,,,,,x,,,,Fifth Edition Foes,134,,,Adult Green Dragon,Huge,Dragon,,Lawful Neutral,15,,,x,x,,,,,,,x,,,,,,,,,Monster Manual,94,Rise of Tiamat Online Supplement 5,,,,,,,,,,
Green Dracolisk,Large,Dragon,,Unaligned,7,,,,,,,,,,,x,,,,,x,,,,Fifth Edition Foes,85,,,Young Green Dragon,Large,Dragon,,Lawful Neutral,8,,,,,,,,,,,x,,,,,,,,,Monster Manual,94,"Lost Mines of Phandelver 63, The Lost Dungeon of Rickedness: Big Rick Energy 44",,,,,,,,,,
Green Dragon Wyrmling,Medium,Dragon,,Lawful Neutral,2,,,,,,,,,,,x,,,,,,,,,Monster Manual,95,,,Green Dragon Wyrmling,Medium,Dragon,,Lawful Neutral,2,,,,,,,,,,,x,,,,,,,,,Monster Manual,95,,,,,,,,,,,
Green Guardian Gargoyle,Medium,Monstrosity,,Chaotic Evil,1,,,,,,,,x,x,x,x,x,x,x,x,x,,x,,Fifth Edition Foes,115,,,Ancient Red Dragon,Gargantuan,Dragon,,Chaotic Evil,24,,,x,x,,,,,,,,,x,x,,,,,,Monster Manual,97,,,,,,,,,,,
Green Hag,Medium,Fey,Hag,Neutral Evil,3,,x,,,,,,,,,x,,x,,x,,,,,Monster Manual,177,Infernal Machine Rebuild 67,,Adult Red Dragon,Huge,Dragon,,Chaotic Evil,17,,,x,x,,,,,,,,,x,x,,,,,,Monster Manual,98,,,,,,,,,,,
Green Knight of the Woods,Medium,Fey,,Lawful Neutral,6,,,,,,,,,,,x,,,,,,,,,Creature Codex,209,,,Red Dragon Wyrmling,Medium,Dragon,,Chaotic Evil,4,,,,,,,,,,,,,x,x,,,,,,Monster Manual,98,,,,,,,,,,,
Green Slaad,Large,Aberration,Shapechanger,Chaotic Neutral,8,,x,,,,,,,,,,,,,,,,,ø,Monster Manual,277,,,Young Red Dragon,Large,Dragon,,Chaotic Evil,10,,,,,,,,,,,,,x,x,,,,,,Monster Manual,98,,,,,,,,,,,
Grell,Medium,Aberration,,Neutral Evil,3,,,,,,,,,,,,,,,,x,,,,Monster Manual,172,Infernal Machine Rebuild 68,,Ancient White Dragon,Gargantuan,Dragon,,Chaotic Evil,20,,,x,x,,,,x,,,,,,,,,,,,Monster Manual,100,,,,,,,,,,,
Gremishka,Tiny,Monstrosity,,Not Provided,1/8,,,,,,,,,,,,,,,,,,ø,,Van Richten's Guide to Ravenloft,235,,,Adult White Dragon,Huge,Dragon,,Chaotic Evil,13,,,x,x,,,,x,,,,,,,,,,,,Monster Manual,101,Rise of Tiamat Online Supplement 6,,,,,,,,,,
Gremlin,Small,Beast,,Unaligned,1/2,,,,,,,,,,,,,,,,,,x,,Planeshift: Kaladesh,26,,,Young White Dragon,Large,Dragon,,Chaotic Evil,6,,,,,,,,x,,,,,,,,,,,,Monster Manual,101,,,,,,,,,,,
Grick,Medium,Monstrosity,,Neutral,2,,,,,,,,,,,x,,,,,x,,,,Monster Manual,173,Lost Mines of Phandelver 58,,White Dragon Wyrmling,Medium,Dragon,,Chaotic Evil,2,,,,,,,,x,,,,,,,,,,,,Monster Manual,102,,,,,,,,,,,
Grick Alpha,Large,Monstrosity,,Neutral,7,,,,,,,,,,,x,,,,,x,,,,Monster Manual,173,,,Ancient Brass Dragon,Gargantuan,Dragon,,Chaotic Good,20,,,x,x,,,,,,x,,,,,,,,,,Monster Manual,104,,,,,,,,,,,
Griffon,Large,Monstrosity,,Unaligned,2,,,,,,,,x,x,,,x,x,x,,,,,,Monster Manual,174,,,Adult Brass Dragon,Huge,Dragon,,Chaotic Good,13,,,x,x,,,,,,x,,,,,,,,,,Monster Manual,105,,,,,,,,,,,
Griffon Cavalry Rider,Medium,Humanoid,Any Race,Any,2,,,,,,,,,,,,,,,,,,ø,,Waterdeep: Dragon Heist,197,,,Young Brass Dragon,Large,Dragon,,Chaotic Good,6,,,,,,,,,,x,,,,,,,,,,Monster Manual,105,,,,,,,,,,,
Grim Jester,Medium,Undead,,Chaotic Evil,11,,x,,,,,,,,,,,,,,,,ø,,Tome of Beasts,240,,,Brass Dragon Wyrmling,Medium,Dragon,,Chaotic Good,1,,,,,,,,,,x,,,,,,,,,,Monster Manual,106,,,,,,,,,,,
Grimlock,Medium,Humanoid,Grimlock,Neutral Evil,1/4,,,,,,,,,,,,,,,,x,,,,Monster Manual,175,,,Ancient Bronze Dragon,Gargantuan,Dragon,,Lawful Good,22,,,x,x,,,,,x,,,,,,,,,,,Monster Manual,107,,,,,,,,,,,
Grimm,Large,Fey,,Neutral Evil,7,,x,,,,,,,,,,,,x,,,,,,Fifth Edition Foes,135,,,Adult Bronze Dragon,Huge,Dragon,,Lawful Good,15,,,x,x,,,,,x,,,,,,,,,,,Monster Manual,108,,,,,,,,,,,
Grimmlet,Tiny,Monstrosity,,Unaligned,1,,x,,,,,,,,,,,x,,,,,,,Tome of Beasts 2,186,,,Young Bronze Dragon,Large,Dragon,,Lawful Good,8,,,,,,,,,x,,,,,,,,,,,Monster Manual,108,,,,,,,,,,,
Grimmlet Swarm,Large,Monstrosity,Swarm,Unaligned,14,,x,,,,,,,,,,,x,,,,,,,Tome of Beasts 2,187,,,Bronze Dragon Wyrmling,Medium,Dragon,,Lawful Good,2,,,,,,,,,x,,,,,,,,,,,Monster Manual,109,,,,,,,,,,,
Grindylow,Medium,Aberration,,Chaotic Evil,1,,,,,,,,,,,,,,,,,x,,,Creature Codex,210,,,Ancient Copper Dragon,Gargantuan,Dragon,,Chaotic Good,21,,,x,x,,,,,,,,,x,,,,,,,Monster Manual,110,,,,,,,,,,,
Grippli,Small,Humanoid,,Neutral,1/4,,,,,,,,,,,x,,,,x,,,,,Fifth Edition Foes,136,,,Adult Copper Dragon,Huge,Dragon,,Chaotic Good,14,,,x,x,,,,,,,,,x,,,,,,,Monster Manual,111,,,,,,,,,,,
Grippli Warrior,Small,Humanoid,Grippli,Not Provided,1/4,,,,,,,,,,,ø,,,,ø,,,,,Candlekeep Mysteries,99,,,Young Copper Dragon,Large,Dragon,,Chaotic Good,7,,,,,,,,,,,,,x,,,,,,,Monster Manual,111,,,,,,,,,,,
Grisha,Medium,Humanoid,Human,Chaotic Evil,2,,x,,,x,,,,,,,,,,,,,,,Out of the Abyss,232,,,Copper Dragon Wyrmling,Medium,Dragon,,Chaotic Good,1,,,,,,,,,,,,,x,,,,,,,Monster Manual,112,,,,,,,,,,,
Groff,Large,Plant,,Unaligned,4,,,,,,,,,,,,,,,x,,,,,Strixhaven: A Cirriculum of Chaos,194,,,Ancient Gold Dragon,Gargantuan,Dragon,,Lawful Good,24,,,x,x,,,,,,,x,x,,,,,,,,Monster Manual,113,,,,,,,,,,,
Grog Strongjaw,Medium,Humanoid,half-giant,Not Provided,18,,,,,x,,,,,,,,,,,,,,,Tal'Dorei Campaign Setting Reborn,261,,,Adult Gold Dragon,Huge,Dragon,,Lawful Good,17,,,x,x,,,,,,,x,x,,,,,,,,Monster Manual,114,,,,,,,,,,,
Grove Bear,Medium,Beast,,Unaligned,1/4,,,,,,,,,,,x,,,,,,,,,Tome of Beasts 2,394,,,Gold Dragon Wyrmling,Medium,Dragon,,Lawful Good,3,,,,,,,,,,,x,x,,,,,,,,Monster Manual,115,,,,,,,,,,,
Grove Guardian,Large,Fey,,Neutral,5,,x,,,,,,,,,ø,,,,,,,,,Monster a Day Compendium 2.0,71,,,Young Gold Dragon,Large,Dragon,,Lawful Good,10,,,,,,,,,,,x,x,,,,,,,,Monster Manual,115,,,,,,,,,,,
Grue (type 1),Large,Ooze,,Unaligned,4,,,,,,,,,,,,,,,,x,,,,Fifth Edition Foes,137,,,Ancient Silver Dragon,Gargantuan,Dragon,,Lawful Good,23,,,x,x,,,,,,,,,,x,,,,x,,Monster Manual,116,,,,,,,,,,,
Grue (type 2),Medium,Aberration,,Chaotic Evil,2,,,,,,,,,,,x,x,x,,,x,,,,Fifth Edition Foes,138,,,Adult Silver Dragon,Huge,Dragon,,Lawful Good,16,,,x,x,,,,,,,,,,x,,,,x,,Monster Manual,117,,,,,,,,,,,
Grung,Small,Humanoid,,Any,1/4,,,,,,,,,,,x,,,,,,,,,Mordenkainen Presents: Monsters of the Multiverse,149,,,Silver Dragon Wyrmling,Medium,Dragon,,Lawful Good,2,,,,,,,,,,,,,,x,,,,x,,Monster Manual,118,,,,,,,,,,,
Grung,Small,Humanoid,Grung,Lawful Neutral,1/4,,,,,,,,,,,x,,,,,,,,,Volo's Guide to Monsters,156,Tomb of Annihilation 223,,Young Silver Dragon,Large,Dragon,,Lawful Good,9,,,,,,,,,,,,,,x,,,,x,,Monster Manual,118,,,,,,,,,,,
Grung Elite Warrior,Small,Humanoid,,Any,2,,,,,,,,,,,x,,,,,,,,,Mordenkainen Presents: Monsters of the Multiverse,150,,,Dragon Turtle,Gargantuan,Dragon,,Neutral,17,,,,,,,,,x,,,,,,,,x,,,Monster Manual,119,,,,,,,,,,,
Grung Elite Warrior,Small,Humanoid,Grung,Lawful Neutral,2,,,,,,,,,,,x,,,,,,,,,Volo's Guide to Monsters,157,Tomb of Annihilation 223,,Drider,Large,Monstrosity,,Chaotic Evil,6,,x,,,,,,,,,,,,,,x,,,,Monster Manual,120,,,,,,,,,,,
Grung Wildling,Small,Humanoid,,Any,1,,x,,,,,,,,,x,,,,,,,,,Mordenkainen Presents: Monsters of the Multiverse,150,,,Dryad,Medium,Fey,,Neutral,1,,x,,,,,,,,,x,,,,,,,,,Monster Manual,121,,,,,,,,,,,
Grung Wildling,Small,Humanoid,Grung,Lawful Neutral,1,,x,,,,,,,,,x,,,,,,,,,Volo's Guide to Monsters,157,Tomb of Annihilation 224,,Duergar,Medium,Humanoid,Dwarf,Lawful Neutral,1,,,,,,,,,,,,,,,,x,,,,Monster Manual,122,,,,,,,,,,,
Gruul Goblin,Small,Humanoid,Goblinoid,Neutral Evil,1/2,,,,,,,,,,,ø,ø,ø,,,ø,,,,Monster a Day Compendium 2.0,67,,,Air Elemental,Large,Elemental,,Neutral,5,,,,,,,,,,x,,,,x,,,,,,Monster Manual,124,"Infernal Machine Rebuild 60, Rise of Tiamat Online Supplement 6",,,,,,,,,,
Guard,Medium,Humanoid,Any Race,Any,1/8,,,,,,,,,x,x,,x,x,x,,,,x,,Monster Manual,347,Rise of Tiamat Online Supplement 17,,Earth Elemental,Large,Elemental,,Neutral,5,,,,,,,,,,,,,,,,x,,,,Monster Manual,124,Rise of Tiamat Online Supplement 13,,,,,,,,,,
Guard Drake,Medium,Dragon,,Unaligned,2,,,,,,,,x,,x,x,,,x,x,x,,x,,Mordenkainen Presents: Monsters of the Multiverse,151,,,Fire Elemental,Large,Elemental,,Neutral,5,,,,,,,,,,x,,,,,,,,,,Monster Manual,125,"Infernal Machine Rebuild 64, Rise of Tiamat Online Supplement 15",,,,,,,,,,
Guard Drake,Medium,Dragon,,Unaligned,2,,,,,,,,x,,x,,,,x,x,x,,x,,Volo's Guide to Monsters,158,"Hoard of the Dragon Queen 91, Rise of Tiamat 90",,Water Elemental,Large,Elemental,,Neutral,5,,,,,,,,,x,,,,,,x,,x,,,Monster Manual,125,Rise of Tiamat Online Supplement 26,,,,,,,,,,
Guardian Giant,Huge,Giant,,Lawful Neutral,8,,,,,,,,,,,,,,,,,,ø,,Guildmaster's Guide to Ravnica,201,,,Drow,Medium,Humanoid,Elf,Neutral Evil,1/4,,x,,,,,,,,,,,,,,x,,,,Monster Manual,128,,,,,,,,,,,
Guardian Naga,Large,Monstrosity,,Lawful Good,10,,x,,,,,,,,x,x,,,,,,,,,Monster Manual,234,,,Drow Elite Warrior,Medium,Humanoid,Elf,Neutral Evil,5,,x,,,,,,,,,,,,,,x,,,,Monster Manual,128,,,,,,,,,,,
Guardian Portrait,Medium,Construct,,Unaligned,1,,x,,,,,,,,,,,,,,,,ø,,Curse of Strahd,227,,,Drow Mage,Medium,Humanoid,Elf,Neutral Evil,7,,x,,,,,,,,,,,,,,x,,,,Monster Manual,129,,,,,,,,,,,
Guardian Shadow Fey Elves,Large,Humanoid,Elf,Neutral Evil,4,,x,,,,,,,,,,,,,,ø,,,ø,Tome of Beasts,174,,,Drow Priestess of Lolth,Medium,Humanoid,Elf,Neutral Evil,8,,x,,,,,,,,,,,,,,x,,,,Monster Manual,129,,,,,,,,,,,
Gug,Large,Aberration,Dreamlander,Chaotic Evil,4,,,,,,,,,,,,,,,,,,,ø,Monster a Day Compendium 2.0,72,,,Empyrean,Huge,Celestial,Titan,Chaotic Good,23,,x,x,,,,,,,,,,,,,,,,ø,Monster Manual,130,,,,,,,,,,,
Gug,Large,Giant,,Chaotic Evil,8,,x,,,,,,,,,,,,ø,,x,,,x,Sandy Petersen's Cthulhu Mythos,332,,,Ettercap,Medium,Monstrosity,,Neutral Evil,2,,,,,,,,,,,x,,,,,,,,,Monster Manual,131,Rise of Tiamat Online Supplement 14,,,,,,,,,,
Gug,Huge,Giant,,Neutral Evil,12,,,,,,,,,,,,,,,,ø,,,,Tome of Beasts,241,,,Ettin,Large,Giant,,Chaotic Evil,4,,,,,,,,,,,,,x,x,,,,,,Monster Manual,132,Rise of Tiamat Online Supplement 14,,,,,,,,,,
Gugalanna,Huge,Celestial,,Chaotic Good,21,,,x,,,,,,,,,,,,,,,,x,Creature Codex,211,,,Adult Faerie Dragon,Tiny,Dragon,,Chaotic Good,2,,x,,,,,,,,,x,,,,,,,,,Monster Manual,133,,,,,,,,,,,
Guiguai,Medium,Undead,,Any,4,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,,Tome of Beasts 2,188,,,Young Faerie Dragon,Tiny,Dragon,,Chaotic Good,1,,x,,,,,,,,,x,,,,,,,,,Monster Manual,133,,,,,,,,,,,
Gulon,Large,Monstrosity,,Unaligned,6,,,,,,,,,,,x,,,,,,,,,Creature Codex,212,,,Flameskull,Tiny,Undead,,Neutral Evil,4,,x,,,,,,,,,,,,,,x,,,,Monster Manual,134,"Lost Mines of Phandelver 57, The Lost Dungeon of Rickedness: Big Rick Energy 37",,,,,,,,,,
Gulper Behemoth,Gargantuan,Monstrosity,,Unaligned,9,,,,x,,,,,,,,,,,,,x,,,Tome of Beasts 2,190,,,Flumph,Small,Aberration,,Lawful Good,1/8,,,,,,,,,,,,,,,,x,,,,Monster Manual,135,,,,,,,,,,,
Gulper Eel,Large,Beast,Aquatic,Unaligned,3,,,,,,,,,x,,,,,,,,x,,,Fifth Edition Foes,92,,,Fomorian,Huge,Giant,,Chaotic Evil,8,,,,,,,,,,,,,,,,x,,,,Monster Manual,136,,,,,,,,,,,
Gumienniki,Small,Fiend,Shapechanger,Neutral Evil,1,,,,,,,,,,,,,,,,,,,x,Creature Codex,213,,,Gas Spore,Large,Plant,,Unaligned,1/2,,,,,,,,,,,,,,,,x,,,,Monster Manual,138,,,,,,,,,,,
Gunvald Halraggson,Medium,Humanoid,Human,Neutral,5,,,,,x,,,,,,,,,,,,,,,Icewind Dale: Rime of the Frostmaiden,305,,,Shrieker,Medium,Plant,,Unaligned,0,,,,,,,,,,,,,,,,x,,,,Monster Manual,138,,,,,,,,,,,
Gynosphinx,Large,Monstrosity,,Lawful Neutral,11,,x,x,x,,,,,,x,,,,,,,,,,Monster Manual,282,,,Violet Fungus,Medium,Plant,,Unaligned,1/4,,,,,,,,,,,,,,,,x,,,,Monster Manual,138,,,,,,,,,,,
Gypsosphinx,Large,Monstrosity,Sphinx,Neutral Evil,14,,x,x,,,,,,,ø,,,,,,,,ø,,Tome of Beasts,359,,,Galeb Duhr,Medium,Elemental,,Neutral,6,,,,,,,,,,,,,x,x,,,,,,Monster Manual,139,,,,,,,,,,,
Hadrosaurus,Large,Beast,dinosaur,Unaligned,1/4,,,,,,,,,,,,x,,,x,,,,,Mordenkainen Presents: Monsters of the Multiverse,96,"Volo's Guide to Monsters 140, Tomb of Annihilation 224",,Gargoyle,Medium,Elemental,,Chaotic Evil,2,,,,,,,,,,,,,,,,x,,x,,Monster Manual,140,,,,,,,,,,,
Hag of the Fetid Gaze,Medium,Fey,,Neutral Evil,5,,x,,,,,,,,,,,,,,,,,,Candlekeep Mysteries,76,,,Dao,Large,Elemental,,Neutral Evil,11,,x,,,,,,,,,,,,,,x,,,,Monster Manual,143,Rise of Tiamat Online Supplement 12,,,,,,,,,,
Hair Golem,Small,Construct,,Unaligned,1/4,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,200,,,Djinni,Large,Elemental,,Chaotic Good,11,,x,,,,,,,x,,,,,,,,,,,Monster Manual,144,,,,,,,,,,,
